"ZIP code",Size of adjusted gross income,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI)
77074,"$75,000 under $100,000",513,306,258,1205,386,44124
77074,"$100,000 under $200,000",475,344,269,1129,310,62190
77074,"$200,000 or more",115,81,82,279,83,40720
77075,,"14,965","4,931","9,309","35,227","16,124","540,019"
77075,"$1 under $25,000",6856,1062,4239,12992,5856,92451
77075,"$25,000 under $50,000",4539,1510,2816,11565,5526,162704
77075,"$50,000 under $75,000",2029,1153,1309,5895,2715,123717
77075,"$75,000 under $100,000",925,695,577,2872,1252,79605
77075,"$100,000 under $200,000",582,487,345,1820,750,70933
77075,"$200,000 or more",34,24,23,83,25,10609
77076,,"12,351","3,911","8,590","31,053","15,238","341,306"
77076,"$1 under $25,000",7205,1394,5051,15924,7767,97186
77076,"$25,000 under $50,000",3621,1484,2498,10437,5337,126582
77076,"$50,000 under $75,000",1043,667,722,3241,1531,62836
77076,"$75,000 under $100,000",311,241,211,988,436,26569
77076,"$100,000 under $200,000",171,125,108,463,167,28133
77076,"$200,000 or more",**,**,**,**,**,**
77077,,"27,259","8,821","12,995","49,539","14,701","2,364,434"
77077,"$1 under $25,000",9436,923,4428,13387,4238,121143
77077,"$25,000 under $50,000",6328,1153,2842,10760,3304,229211
77077,"$50,000 under $75,000",3436,1112,1536,6060,1521,211734
77077,"$75,000 under $100,000",2146,1151,1026,4428,1133,185655
77077,"$100,000 under $200,000",3804,2680,1838,9088,2603,531014
77077,"$200,000 or more",2109,1802,1325,5816,1902,1085677
77078,,"6,254","1,208","3,685","13,828","6,620","163,926"
77078,"$1 under $25,000",3711,371,2145,7363,3522,49131
77078,"$25,000 under $50,000",1854,475,1098,4595,2279,65025
77078,"$50,000 under $75,000",473,216,298,1281,592,28233
77078,"$75,000 under $100,000",131,82,90,356,143,11097
77078,"$100,000 under $200,000",85,64,54,233,84,10440
77078,"$200,000 or more",**,**,**,**,**,**
77079,,"15,700","6,821","7,869","32,543","11,162","2,271,519"
77079,"$1 under $25,000",4845,565,2338,6299,2016,55154
77079,"$25,000 under $50,000",2726,647,1224,5139,1784,100326
77079,"$50,000 under $75,000",1625,559,769,3055,869,99561
77079,"$75,000 under $100,000",1151,596,577,2441,693,99962
77079,"$100,000 under $200,000",2619,1982,1309,6980,2379,379642
77079,"$200,000 or more",2734,2472,1652,8629,3421,1536874
77080,,"17,720","5,640","10,533","41,825","19,140","691,721"
77080,"$1 under $25,000",9088,1538,5663,19413,9442,122819
77080,"$25,000 under $50,000",4824,1769,2955,13248,6668,169980
77080,"$50,000 under $75,000",1776,869,933,4254,1615,108183
77080,"$75,000 under $100,000",869,538,426,2003,596,74879
77080,"$100,000 under $200,000",936,741,416,2310,634,124442
77080,"$200,000 or more",227,185,140,597,185,91418
77081,,"16,971","4,366","11,045","39,053","18,161","569,661"
77081,"$1 under $25,000",10488,1787,7264,23061,11207,146946
77081,"$25,000 under $50,000",4341,1623,2756,11596,5653,149111
77081,"$50,000 under $75,000",1087,359,506,2079,636,65191
77081,"$75,000 under $100,000",415,177,180,796,204,35602
77081,"$100,000 under $200,000",435,265,204,971,271,57265
77081,"$200,000 or more",205,155,135,550,190,115546
77082,,"25,126","6,424","13,124","47,682","17,170","1,571,797"
77082,"$1 under $25,000",11513,1357,6250,19266,7405,152704
77082,"$25,000 under $50,000",7068,1524,3588,13764,5198,251616
77082,"$50,000 under $75,000",2785,1035,1295,5697,1880,169173
77082,"$75,000 under $100,000",1387,769,686,3091,935,119425
77082,"$100,000 under $200,000",1599,1079,795,3796,1119,215700
77082,"$200,000 or more",774,660,510,2068,633,663179
77083,,"31,679","10,289","18,408","68,725","28,846","1,151,934"
77083,"$1 under $25,000",15711,2582,9328,27386,11167,203026
77083,"$25,000 under $50,000",8792,3214,5200,21625,9637,314248
77083,"$50,000 under $75,000",3574,1792,2008,9280,3913,217558
77083,"$75,000 under $100,000",1779,1241,975,5060,2040,153340
77083,"$100,000 under $200,000",1649,1323,806,4898,1924,214709
77083,"$200,000 or more",174,137,91,476,165,49053
77084,,"43,282","15,803","21,600","94,579","38,074","2,123,210"
77084,"$1 under $25,000",16966,2628,9046,28762,11703,218453
77084,"$25,000 under $50,000",11850,3765,5932,27528,11952,431221
77084,"$50,000 under $75,000",6330,3151,2970,15692,6214,387636
77084,"$75,000 under $100,000",3510,2397,1545,9474,3568,302501
77084,"$100,000 under $200,000",3895,3229,1693,11104,3982,514964
77084,"$200,000 or more",731,633,414,2019,655,268435
77085,,"7,200","2,041","4,492","16,112","7,242","230,859"
77085,"$1 under $25,000",3609,557,2269,6812,3012,49192
77085,"$25,000 under $50,000",2279,739,1412,5753,2737,81311
77085,"$50,000 under $75,000",806,413,514,2201,982,48499
77085,"$75,000 under $100,000",315,186,184,834,335,26876
77085,"$100,000 under $200,000",191,146,113,512,176,24981
77085,"$200,000 or more",**,**,**,**,**,**
77086,,"11,128","3,427","7,241","26,887","12,887","348,341"
77086,"$1 under $25,000",5832,954,3845,11901,5660,78994
77086,"$25,000 under $50,000",3326,1204,2159,9140,4617,118001
77086,"$50,000 under $75,000",1277,728,814,3744,1742,77314
77086,"$75,000 under $100,000",420,317,250,1306,569,35809
77086,"$100,000 under $200,000",248,200,152,729,299,30662
77086,"$200,000 or more",25,24,21,67,**,7561
77087,,"14,765","4,431","9,608","35,120","16,602","436,329"
77087,"$1 under $25,000",7880,1323,5131,15959,7425,105749
77087,"$25,000 under $50,000",4653,1717,3037,12573,6210,163967
77087,"$50,000 under $75,000",1485,839,979,4462,2140,88606
77087,"$75,000 under $100,000",449,321,282,1296,526,38045
77087,"$100,000 under $200,000",298,231,179,830,301,39962
77087,"$200,000 or more",**,**,**,**,**,**
77088,,"22,654","5,299","13,177","48,595","21,657","738,455"
77088,"$1 under $25,000",12016,1334,7110,22769,10416,157668
77088,"$25,000 under $50,000",6500,1675,3760,15317,7158,231489
77088,"$50,000 under $75,000",2357,1035,1369,5936,2545,142824
77088,"$75,000 under $100,000",975,623,507,2490,892,83299
77088,"$100,000 under $200,000",729,577,381,1902,597,93843
77088,"$200,000 or more",77,55,50,181,49,29332
77089,,"22,050","8,005","11,662","47,282","18,545","1,056,614"
77089,"$1 under $25,000",8374,1190,4487,13283,5018,107179
77089,"$25,000 under $50,000",5919,1703,3127,13081,5472,216363
77089,"$50,000 under $75,000",3463,1727,1826,8425,3241,212562
77089,"$75,000 under $100,000",1943,1388,1006,5480,2149,167831
77089,"$100,000 under $200,000",2129,1817,1090,6397,2451,275999
77089,"$200,000 or more",222,180,126,616,214,76680
77090,,"15,449","2,952","8,047","30,259","12,401","545,958"
77090,"$1 under $25,000",8052,623,4298,14558,6416,109523
77090,"$25,000 under $50,000",4475,783,2228,9117,3867,157548
77090,"$50,000 under $75,000",1480,539,744,3103,1086,89477
77090,"$75,000 under $100,000",644,392,320,1525,489,55485
77090,"$100,000 under $200,000",646,492,361,1592,453,84972
77090,"$200,000 or more",152,123,96,364,90,48953
77091,,"10,230","1,762","5,721","21,253","9,620","305,934"
77091,"$1 under $25,000",6193,514,3562,12139,5781,81963
77091,"$25,000 under $50,000",2523,507,1385,5756,2735,87952
77091,"$50,000 under $75,000",792,271,426,1656,593,48082
77091,"$75,000 under $100,000",342,176,163,749,232,29584
77091,"$100,000 under $200,000",332,258,162,843,253,43596
77091,"$200,000 or more",48,36,23,110,26,14757
77092,,"14,621","3,867","8,100","30,939","12,934","573,448"
77092,"$1 under $25,000",7180,957,4216,14005,6343,96184
77092,"$25,000 under $50,000",4081,1140,2281,9547,4333,144963
77092,"$50,000 under $75,000",1723,690,852,3730,1318,104690
77092,"$75,000 under $100,000",777,467,327,1655,411,66973
77092,"$100,000 under $200,000",714,507,316,1651,430,93904
77092,"$200,000 or more",146,106,108,351,99,66734
77093,,"17,136","5,231","11,669","44,423","22,652","437,706"
77093,"$1 under $25,000",10448,2104,7175,23921,11961,141741
77093,"$25,000 under $50,000",4937,2006,3296,14899,7958,171853
77093,"$50,000 under $75,000",1278,773,866,4089,2038,76129
77093,"$75,000 under $100,000",326,238,222,1071,508,27442
77093,"$100,000 under $200,000",147,110,110,443,187,20541
77093,"$200,000 or more",**,**,**,**,**,**
77094,,"4,607","2,534","2,117","10,135","3,487","779,757"
77094,"$1 under $25,000",1121,87,411,914,186,10267
77094,"$25,000 under $50,000",527,127,236,873,231,19707
77094,"$50,000 under $75,000",395,164,185,846,288,24371
77094,"$75,000 under $100,000",330,212,159,834,292,28780
77094,"$100,000 under $200,000",1084,894,470,3101,1123,158769
77094,"$200,000 or more",1150,1050,656,3567,1367,537863
77095,,"30,978","13,522","13,102","67,339","25,405","2,316,505"
77095,"$1 under $25,000",9630,1058,4063,12207,4036,111782
77095,"$25,000 under $50,000",6233,1673,2678,12803,4931,229681
77095,"$50,000 under $75,000",4129,1839,1766,9693,3733,255796
77095,"$75,000 under $100,000",3266,2274,1325,9129,3592,284162
77095,"$100,000 under $200,000",5936,5052,2362,17999,7015,811500
77095,"$200,000 or more",1784,1626,908,5508,2098,623584
77096,,"15,910","5,691","7,801","30,826","10,243","1,232,927"
77096,"$1 under $25,000",5894,598,2929,8428,2917,71883
77096,"$25,000 under $50,000",3372,718,1570,6078,2019,122154
77096,"$50,000 under $75,000",1744,634,815,3296,924,107137
77096,"$75,000 under $100,000",1207,698,555,2718,811,105312
77096,"$100,000 under $200,000",2421,1898,1160,6483,2166,342082
77096,"$200,000 or more",1272,1145,772,3823,1406,484359
77098,,"8,251","1,876","3,813","12,021","2,188","1,488,722"
77098,"$1 under $25,000",2111,133,817,2423,456,27262
77098,"$25,000 under $50,000",1859,176,697,2437,412,69213
77098,"$50,000 under $75,000",1125,157,460,1475,197,69010
77098,"$75,000 under $100,000",760,185,362,1087,140,66022
77098,"$100,000 under $200,000",1267,540,661,2232,426,175755
77098,"$200,000 or more",1129,685,816,2367,557,1081460
77099,,"20,228","5,206","12,195","43,232","18,800","595,069"
77099,"$1 under $25,000",11901,1705,7305,22524,9884,158993
77099,"$25,000 under $50,000",5613,1865,3356,13645,6197,197229
77099,"$50,000 under $75,000",1597,846,924,4174,1735,96628
77099,"$75,000 under $100,000",599,385,332,1568,585,51171
77099,"$100,000 under $200,000",443,343,238,1134,349,56222
77099,"$200,000 or more",75,62,40,187,50,34826
77301,,"11,113","3,378","6,416","25,507","11,502","363,026"
77301,"$1 under $25,000",6159,983,3696,12459,5802,81807
77301,"$25,000 under $50,000",3043,1064,1703,7877,3771,106316
77301,"$50,000 under $75,000",986,589,537,2630,1055,59990
77301,"$75,000 under $100,000",450,335,217,1190,405,38832
77301,"$100,000 under $200,000",410,354,212,1175,411,52626
77301,"$200,000 or more",65,53,51,176,58,23455
77302,,"7,369","3,453","3,606","16,636","6,203","459,112"
77302,"$1 under $25,000",2799,550,1333,4839,1877,34712
77302,"$25,000 under $50,000",1704,691,823,4036,1643,61741
77302,"$50,000 under $75,000",1028,657,498,2745,1060,63421
77302,"$75,000 under $100,000",652,513,308,1767,603,56513
77302,"$100,000 under $200,000",886,767,449,2424,770,119791
77302,"$200,000 or more",300,275,195,825,250,122934
77303,,"6,849","2,926","3,220","15,087","5,656","299,123"
77303,"$1 under $25,000",2949,587,1358,5222,2024,37582
77303,"$25,000 under $50,000",1844,733,880,4250,1678,67299
77303,"$50,000 under $75,000",984,657,433,2554,913,60418
77303,"$75,000 under $100,000",527,455,249,1508,527,45468
77303,"$100,000 under $200,000",492,447,261,1412,473,62562
77303,"$200,000 or more",53,47,39,141,41,25794
77304,,"10,576","4,482","5,004","20,796","6,312","725,195"
77304,"$1 under $25,000",3793,537,1629,5372,1607,47671
77304,"$25,000 under $50,000",2481,728,1093,4704,1503,90175
77304,"$50,000 under $75,000",1386,745,660,3058,927,85294
77304,"$75,000 under $100,000",937,714,448,2362,712,81396
77304,"$100,000 under $200,000",1458,1286,795,3942,1198,198557
77304,"$200,000 or more",521,472,379,1358,365,222102
77306,,"4,288","1,752","2,326","10,373","4,526","151,979"
77306,"$1 under $25,000",2160,505,1190,4532,2060,27757
77306,"$25,000 under $50,000",1186,534,641,3178,1458,42222
77306,"$50,000 under $75,000",515,344,274,1467,608,31294
77306,"$75,000 under $100,000",213,179,103,604,212,18267
77306,"$100,000 under $200,000",192,190,118,541,188,25138
77306,"$200,000 or more",22,**,**,51,**,7301
77316,,"6,968","3,692","3,301","15,738","5,510","626,633"
77316,"$1 under $25,000",2248,391,927,3282,1074,26854
77316,"$25,000 under $50,000",1367,560,588,2950,1024,49831
77316,"$50,000 under $75,000",911,566,442,2253,776,56356
77316,"$75,000 under $100,000",702,574,346,1956,680,60967
77316,"$100,000 under $200,000",1280,1164,673,3868,1424,176149
77316,"$200,000 or more",460,437,325,1429,532,256476
77318,,"6,365","2,997","2,923","12,860","3,864","444,309"
77318,"$1 under $25,000",2273,407,935,3452,1132,26834
77318,"$25,000 under $50,000",1389,511,575,2838,944,50135
77318,"$50,000 under $75,000",852,489,391,1910,569,52614
77318,"$75,000 under $100,000",670,534,334,1650,446,58350
77318,"$100,000 under $200,000",921,815,503,2372,636,123488
77318,"$200,000 or more",260,241,185,638,137,132888
77320,,"8,863","3,134","4,553","17,905","6,403","363,639"
77320,"$1 under $25,000",4040,533,2055,6753,2664,52480
77320,"$25,000 under $50,000",2521,819,1269,5380,2051,88947
77320,"$50,000 under $75,000",1087,724,559,2607,796,67087
77320,"$75,000 under $100,000",599,508,279,1589,482,51722
77320,"$100,000 under $200,000",530,478,319,1367,359,68982
77320,"$200,000 or more",86,72,72,209,51,34421
77327,,"6,999","2,919","3,880","16,384","6,753","295,824"
77327,"$1 under $25,000",3274,719,1796,6269,2562,42235
77327,"$25,000 under $50,000",1817,761,1017,4708,2132,65825
77327,"$50,000 under $75,000",900,580,491,2408,927,55061
77327,"$75,000 under $100,000",470,388,247,1357,499,40499
77327,"$100,000 under $200,000",480,420,284,1473,573,62206
77327,"$200,000 or more",58,51,45,169,60,29998
77328,,"6,201","2,796","3,432","14,380","5,621","263,128"
77328,"$1 under $25,000",2755,688,1539,5436,2227,35342
77328,"$25,000 under $50,000",1647,738,894,4132,1751,59574
77328,"$50,000 under $75,000",873,585,461,2312,854,53255
77328,"$75,000 under $100,000",459,371,250,1222,392,39225
77328,"$100,000 under $200,000",411,365,250,1129,353,52490
77328,"$200,000 or more",56,49,38,149,44,23242
77331,,"2,662","1,244","1,384","5,481","1,671","134,344"
77331,"$1 under $25,000",1127,276,539,1982,674,13733
77331,"$25,000 under $50,000",670,294,335,1442,479,24042
77331,"$50,000 under $75,000",356,234,205,796,206,22019
77331,"$75,000 under $100,000",221,186,126,573,166,19198
77331,"$100,000 under $200,000",229,201,134,543,113,31053
77331,"$200,000 or more",59,53,45,145,33,24299
77335,,846,330,545,"1,786",637,"28,603"
77335,"$1 under $25,000",439,109,285,850,328,5827
77335,"$25,000 under $50,000",224,83,143,483,177,7828
77335,"$50,000 under $75,000",102,69,65,253,82,6273
77335,"$75,000 under $100,000",43,35,27,106,28,3700
77335,"$100,000 under $200,000",38,34,25,94,22,4975
77335,"$200,000 or more",**,**,**,**,**,**
77336,,"5,532","2,725","2,683","12,487","4,572","400,346"
77336,"$1 under $25,000",1963,310,854,2964,1031,23239
77336,"$25,000 under $50,000",1147,442,543,2604,1018,42054
77336,"$50,000 under $75,000",697,435,334,1732,599,43049
77336,"$75,000 under $100,000",574,465,305,1653,614,50230
77336,"$100,000 under $200,000",910,845,485,2765,1010,123659
77336,"$200,000 or more",241,228,162,769,300,118115
77338,,"15,393","4,344","8,316","33,153","14,081","583,031"
77338,"$1 under $25,000",7012,849,3790,12792,5589,94124
77338,"$25,000 under $50,000",4627,1233,2497,10656,4804,166671
77338,"$50,000 under $75,000",2092,1007,1123,5198,2099,127076
77338,"$75,000 under $100,000",895,613,452,2468,959,76820
77338,"$100,000 under $200,000",688,583,396,1856,585,87680
77338,"$200,000 or more",79,59,58,183,45,30660
77339,,"17,784","7,887","7,407","36,097","11,645","1,428,392"
77339,"$1 under $25,000",5217,657,1919,6361,1688,60366
77339,"$25,000 under $50,000",3809,1022,1459,7149,2330,141754
77339,"$50,000 under $75,000",2592,1200,1130,5688,1899,160055
77339,"$75,000 under $100,000",2073,1473,872,5415,1872,180135
77339,"$100,000 under $200,000",3038,2573,1375,8567,2956,411767
77339,"$200,000 or more",1055,962,652,2917,900,474315
77340,,"9,608","3,192","4,493","17,561","5,531","423,610"
77340,"$1 under $25,000",4588,464,1933,6457,2167,56058
77340,"$25,000 under $50,000",2416,761,1136,4814,1643,85059
77340,"$50,000 under $75,000",974,583,497,2166,610,60141
77340,"$75,000 under $100,000",674,546,334,1684,465,58446
77340,"$100,000 under $200,000",792,696,465,2035,547,104282
77340,"$200,000 or more",164,142,128,405,99,59624
77345,,"12,165","6,971","4,950","27,915","10,207","1,714,775"
77345,"$1 under $25,000",3137,235,988,2463,494,28624
77345,"$25,000 under $50,000",1403,398,563,2541,764,52221
77345,"$50,000 under $75,000",1134,585,495,2580,862,71103
77345,"$75,000 under $100,000",1084,800,451,2957,1073,94925
77345,"$100,000 under $200,000",3227,2902,1304,10220,4091,463488
77345,"$200,000 or more",2180,2051,1149,7154,2923,1004414
77346,,"24,211","11,554","10,996","54,531","20,567","1,961,457"
77346,"$1 under $25,000",6652,708,2750,8292,2702,76706
77346,"$25,000 under $50,000",4676,1273,2095,9689,3762,175106
77346,"$50,000 under $75,000",3584,1771,1691,8723,3373,221972
77346,"$75,000 under $100,000",3005,2220,1385,8532,3311,261700
77346,"$100,000 under $200,000",5053,4449,2345,15543,6041,685199
77346,"$200,000 or more",1241,1133,730,3752,1378,540774
77351,,"10,917","4,685","6,673","22,948","7,844","484,936"
77351,"$1 under $25,000",5084,1144,3004,9025,3276,63481
77351,"$25,000 under $50,000",2730,1169,1641,6090,2209,96906
77351,"$50,000 under $75,000",1385,938,873,3390,1067,84607
77351,"$75,000 under $100,000",769,633,502,2032,631,66573
77351,"$100,000 under $200,000",751,628,490,1913,534,98047
77351,"$200,000 or more",198,173,163,498,127,75322
77354,,"13,038","6,691","6,260","29,774","11,037","1,084,975"
77354,"$1 under $25,000",4474,790,1991,6694,2409,52120
77354,"$25,000 under $50,000",2341,929,1113,5322,2063,85283
77354,"$50,000 under $75,000",1619,966,762,4076,1493,100719
77354,"$75,000 under $100,000",1287,1015,597,3551,1249,111845
77354,"$100,000 under $200,000",2356,2107,1152,7194,2731,324139
77354,"$200,000 or more",961,884,645,2937,1092,410869
77355,,"10,190","5,251","4,764","23,037","8,370","835,021"
77355,"$1 under $25,000",3536,588,1511,5104,1745,40392
77355,"$25,000 under $50,000",1933,790,889,4374,1660,70465
77355,"$50,000 under $75,000",1350,851,627,3533,1332,83529
77355,"$75,000 under $100,000",1006,839,461,2842,997,87437
77355,"$100,000 under $200,000",1681,1542,818,5090,1867,230683
77355,"$200,000 or more",684,641,458,2094,769,322515
77356,,"12,209","6,407","6,140","24,713","6,889","1,302,109"
77356,"$1 under $25,000",3589,640,1553,4669,1184,40903
77356,"$25,000 under $50,000",2155,770,1005,4046,1167,78653
77356,"$50,000 under $75,000",1577,861,771,3408,972,98160
77356,"$75,000 under $100,000",1363,1041,662,3446,1042,118529
77356,"$100,000 under $200,000",2340,2015,1315,6055,1700,321722
77356,"$200,000 or more",1185,1080,834,3089,824,644142
77357,,"8,450","3,798","4,504","19,767","7,902","385,746"
77357,"$1 under $25,000",3829,841,2088,7418,3121,48733
77357,"$25,000 under $50,000",2081,925,1099,5303,2305,74749
77357,"$50,000 under $75,000",1062,717,540,2881,1103,64855
77357,"$75,000 under $100,000",643,549,316,1826,635,55670
77357,"$100,000 under $200,000",692,638,360,1957,627,91027
77357,"$200,000 or more",143,128,101,382,111,50712
77358,,"2,136",880,"1,081","4,450","1,542","104,637"
77358,"$1 under $25,000",875,163,406,1485,554,11297
77358,"$25,000 under $50,000",575,210,264,1203,419,20658
77358,"$50,000 under $75,000",291,176,146,675,208,17928
77358,"$75,000 under $100,000",185,151,108,499,163,16004
77358,"$100,000 under $200,000",166,145,119,461,150,22108
77358,"$200,000 or more",44,35,38,127,48,16642
77359,,325,131,203,640,193,"13,877"
77359,"$1 under $25,000",156,27,94,248,74,2025
77359,"$25,000 under $50,000",75,28,49,154,51,2659
77359,"$50,000 under $75,000",39,28,40,100,33,2465
77359,"$75,000 under $100,000",28,25,**,70,35,2424
77359,"$100,000 under $200,000",27,23,20,68,**,4304
77359,"$200,000 or more",**,**,**,**,**,**
77360,,"2,132",945,"1,094","4,298","1,273","83,673"
77360,"$1 under $25,000",1044,280,522,1815,543,13261
77360,"$25,000 under $50,000",544,257,262,1190,390,19375
77360,"$50,000 under $75,000",269,181,134,621,171,16444
77360,"$75,000 under $100,000",139,110,84,343,94,11820
77360,"$100,000 under $200,000",111,94,71,271,75,14759
77360,"$200,000 or more",25,23,21,58,**,8014
77362,,"2,117",990,"1,037","4,741","1,750","130,689"
77362,"$1 under $25,000",827,173,398,1426,539,10334
77362,"$25,000 under $50,000",463,176,233,1037,400,16980
77362,"$50,000 under $75,000",270,167,120,666,230,16542
77362,"$75,000 under $100,000",222,172,103,661,267,19237
77362,"$100,000 under $200,000",256,234,132,736,246,33190
77362,"$200,000 or more",79,68,51,215,68,34406
77363,,"1,280",535,685,"2,670",912,"58,973"
77363,"$1 under $25,000",611,144,324,1047,348,7250
77363,"$25,000 under $50,000",309,123,158,718,287,11104
77363,"$50,000 under $75,000",160,96,86,393,137,9910
77363,"$75,000 under $100,000",74,60,30,193,59,6458
77363,"$100,000 under $200,000",126,112,87,319,81,24251
77363,"$200,000 or more",**,**,**,**,**,**
77364,,"1,006",437,534,"1,932",516,"44,388"
77364,"$1 under $25,000",465,134,233,841,268,5889
77364,"$25,000 under $50,000",244,90,131,456,123,8595
77364,"$50,000 under $75,000",140,87,76,301,74,8569
77364,"$75,000 under $100,000",79,62,42,165,25,6778
77364,"$100,000 under $200,000",78,64,52,169,26,14557
77364,"$200,000 or more",**,**,**,**,**,**
77365,,"11,808","5,346","6,230","27,169","10,519","673,414"
77365,"$1 under $25,000",4587,928,2494,8489,3476,58982
77365,"$25,000 under $50,000",2819,1151,1513,6905,2938,102480
77365,"$50,000 under $75,000",1608,947,800,4138,1582,98536
77365,"$75,000 under $100,000",1155,885,548,3128,1088,99775
77365,"$100,000 under $200,000",1310,1132,660,3665,1223,175531
77365,"$200,000 or more",329,303,215,844,212,138110
77371,,"2,780","1,115","1,620","6,370","2,599","106,624"
77371,"$1 under $25,000",1348,280,778,2607,1100,16824
77371,"$25,000 under $50,000",724,304,395,1774,749,26123
77371,"$50,000 under $75,000",377,248,237,1025,400,23080
77371,"$75,000 under $100,000",165,132,94,484,187,14065
77371,"$100,000 under $200,000",166,151,116,480,163,26532
77371,"$200,000 or more",**,**,**,**,**,**
77372,,"4,589","2,032","2,463","10,415","3,996","189,392"
77372,"$1 under $25,000",2063,453,1097,3788,1472,25702
77372,"$25,000 under $50,000",1170,517,616,2797,1112,42842
77372,"$50,000 under $75,000",640,428,338,1720,652,38856
77372,"$75,000 under $100,000",374,316,198,1086,396,32173
77372,"$100,000 under $200,000",315,295,214,961,364,40651
77372,"$200,000 or more",27,23,**,63,**,9168
77373,,"25,004","8,902","11,088","52,409","19,995","1,249,920"
77373,"$1 under $25,000",9172,1069,4025,14263,5501,116285
77373,"$25,000 under $50,000",6561,1743,2955,14206,5911,241370
77373,"$50,000 under $75,000",4061,1971,1749,9531,3500,248372
77373,"$75,000 under $100,000",2451,1747,1064,6586,2390,211158
77373,"$100,000 under $200,000",2424,2084,1092,6941,2433,312072
77373,"$200,000 or more",335,288,203,882,260,120663
77375,,"17,682","7,460","8,041","39,396","15,255","1,076,034"
77375,"$1 under $25,000",6008,824,2763,9171,3322,73492
77375,"$25,000 under $50,000",4152,1306,1833,9182,3732,152936
77375,"$50,000 under $75,000",2951,1560,1312,7397,2893,181316
77375,"$75,000 under $100,000",1869,1399,811,5342,2077,162086
77375,"$100,000 under $200,000",2228,1942,1022,6836,2665,293647
77375,"$200,000 or more",474,429,300,1468,566,212557
77377,,"13,960","7,042","6,318","31,260","11,330","1,272,431"
77377,"$1 under $25,000",3975,528,1696,4919,1478,44357
77377,"$25,000 under $50,000",2450,808,1113,5126,1875,91024
77377,"$50,000 under $75,000",1725,843,795,3957,1390,107255
77377,"$75,000 under $100,000",1560,1102,674,4225,1565,136167
77377,"$100,000 under $200,000",3102,2708,1361,9431,3621,430266
77377,"$200,000 or more",1148,1053,679,3602,1401,463362
77378,,"6,512","2,536","3,238","15,169","6,420","275,516"
77378,"$1 under $25,000",3143,593,1548,6225,2787,42067
77378,"$25,000 under $50,000",1741,715,864,4574,2118,61645
77378,"$50,000 under $75,000",752,481,350,1982,749,45947
77378,"$75,000 under $100,000",391,325,194,1070,354,33639
77378,"$100,000 under $200,000",403,351,217,1117,363,52337
77378,"$200,000 or more",82,71,65,201,49,39881
77379,,"32,644","16,275","14,504","72,126","26,077","3,290,093"
77379,"$1 under $25,000",9527,1119,3828,11075,3256,104475
77379,"$25,000 under $50,000",5456,1577,2371,10731,3741,201519
77379,"$50,000 under $75,000",3962,1955,1762,9291,3375,245930
77379,"$75,000 under $100,000",3405,2447,1449,9263,3411,296365
77379,"$100,000 under $200,000",6938,6040,3112,21127,8148,964263
77379,"$200,000 or more",3356,3137,1982,10639,4146,1477541
77380,,"11,800","4,475","5,306","22,502","6,892","1,635,233"
77380,"$1 under $25,000",3781,448,1543,5133,1565,46307
77380,"$25,000 under $50,000",2682,660,1074,4948,1617,98979
77380,"$50,000 under $75,000",1743,707,712,3410,958,107271
77380,"$75,000 under $100,000",996,586,428,2242,658,86133
77380,"$100,000 under $200,000",1483,1114,754,3685,1085,202810
77380,"$200,000 or more",1115,960,795,3084,1009,1093733
77381,,"16,139","8,585","6,815","34,326","11,239","2,779,895"
77381,"$1 under $25,000",4393,385,1446,4037,871,42405
77381,"$25,000 under $50,000",2047,547,792,3675,1105,75628
77381,"$50,000 under $75,000",1663,742,664,3391,990,103456
77381,"$75,000 under $100,000",1384,976,561,3472,1110,120827
77381,"$100,000 under $200,000",3574,3072,1522,10195,3549,507736
77381,"$200,000 or more",3078,2863,1830,9556,3614,1929843
77382,,"14,333","8,402","6,543","35,553","14,302","2,827,294"
77382,"$1 under $25,000",3213,275,1138,2652,635,28616
77382,"$25,000 under $50,000",1576,406,625,2786,817,59237
77382,"$50,000 under $75,000",1320,569,602,2865,977,82077
77382,"$75,000 under $100,000",1192,795,511,3213,1228,104229
77382,"$100,000 under $200,000",3626,3139,1606,11794,5026,526400
77382,"$200,000 or more",3406,3218,2061,12243,5619,2026735
77384,,"6,386","3,079","2,815","12,624","3,523","623,164"
77384,"$1 under $25,000",1733,239,623,1977,361,19853
77384,"$25,000 under $50,000",1124,310,461,1863,436,41996
77384,"$50,000 under $75,000",898,378,423,1688,413,55898
77384,"$75,000 under $100,000",713,476,335,1643,454,62032
77384,"$100,000 under $200,000",1397,1210,668,3910,1304,194081
77384,"$200,000 or more",521,466,305,1543,555,249304
77385,,"8,745","4,123","3,675","19,669","7,379","577,850"
77385,"$1 under $25,000",2797,414,1183,4041,1407,33365
77385,"$25,000 under $50,000",1878,639,786,4179,1664,68777
77385,"$50,000 under $75,000",1261,720,498,3146,1165,78321
77385,"$75,000 under $100,000",1028,800,408,2901,1072,89395
77385,"$100,000 under $200,000",1473,1277,619,4459,1709,198260
77385,"$200,000 or more",308,273,181,943,362,109732
77386,,"18,375","8,833","7,569","41,969","15,942","1,468,130"
77386,"$1 under $25,000",5051,601,1961,6882,2395,60458
77386,"$25,000 under $50,000",3587,1043,1427,7386,2767,133741
77386,"$50,000 under $75,000",2755,1391,1105,6627,2484,170576
